Month,Year,Region,Volume
Feb,2018,GreatLakes,694.11856
Feb,2016,California,690.97355
Jul,2017,Midsouth,690.58585
Dec,2017,Midsouth,686.01275
Mar,2017,SouthCentral,681.74737
Mar,2015,California,676.77311
Dec,2017,California,676.46085
Sep,2017,Midsouth,671.48328
May,2015,California,668.93216
May,2016,GreatLakes,668.6772
Feb,2018,Midsouth,662.56973
Jun,2017,SouthCentral,661.1583
Apr,2019,South Central,660.17339
Dec,2015,West,655.27832
Sep,2016,West,653.65061
Oct,2016,GreatLakes,650.54695
Jan,2017,Northeast,650.07665
May,2016,SouthCentral,649.34787
Mar,2018,SouthCentral,641.43022
Nov,2016,West,641.3868
Sep,2017,GreatLakes,637.02168
Oct,2017,California,634.32003
May,2016,Northeast,632.15449
Aug,2017,West,630.28996
Feb,2017,NewYork,630.02218
Sep,2016,California,628.97072
Oct,2016,SouthCentral,625.44058
Aug,2016,West,624.43206
Apr,2017,Midsouth,624.35512
Nov,2017,West,619.20395
Apr,2017,LosAngeles,618.04469
Jan,2015,California,617.36607
Oct,2016,West,617.29688
May,2017,SouthCentral,616.96957
Jul,2016,SouthCentral,615.91272
Apr,2019,Great Lakes,614.71707
Jun,2016,GreatLakes,612.7071
Jul,2016,GreatLakes,610.53179
Mar,2019,New York,606.01833
Nov,2017,GreatLakes,603.1959
May,2017,GreatLakes,602.22461
Feb,2019,South Central,600.43798
Oct,2015,West,600.03107
Jul,2016,Northeast,596.46416
Sep,2016,SouthCentral,595.10796
Jan,2019,South Central,594.72068
Jan,2017,GreatLakes,592.67624
May,2019,California,588.657
Apr,2019,Midsouth,586.50879
Jul,2016,LosAngeles,582.72475
Feb,2015,California,581.74355
Apr,2019,New York,578.44074
Sep,2017,California,573.25257
Dec,2017,SouthCentral,567.98565
Apr,2017,NewYork,566.06264
Oct,2016,Midsouth,559.97618
May,2015,GreatLakes,557.0692
Aug,2017,Midsouth,556.89633
May,2016,LosAngeles,556.84978
Mar,2017,LosAngeles,551.26186
Mar,2018,NewYork,549.81974
Jan,2018,SouthCentral,548.84778
Jan,2017,SouthCentral,548.42534
Jul,2016,Midsouth,547.64662
Sep,2015,West,545.77756
Feb,2017,SouthCentral,544.7996
Oct,2017,SouthCentral,544.60427
Sep,2017,West,543.89397
Sep,2016,Northeast,542.00943
Aug,2017,GreatLakes,538.69984
May,2015,Midsouth,537.37746
Oct,2016,California,535.55352
Mar,2019,Southeast,535.49857
Jun,2017,Midsouth,530.94299
Feb,2018,SouthCentral,526.74706
Mar,2019,Los Angeles,519.72245
Aug,2017,California,518.77477
Nov,2016,SouthCentral,518.65126
Feb,2017,Midsouth,518.43434
May,2016,Midsouth,516.60596
Mar,2017,Midsouth,514.7265
Aug,2016,GreatLakes,513.48729
Nov,2016,GreatLakes,510.68116
Apr,2016,Northeast,509.56885
Nov,2017,California,505.39524
Dec,2016,California,500.71864
Sep,2016,GreatLakes,499.43733
Nov,2017,Midsouth,495.49672
Apr,2016,GreatLakes,495.25829
Aug,2017,SouthCentral,495.14615
Sep,2016,Midsouth,495.09138
Jan,2019,New York,493.53741
Dec,2016,GreatLakes,492.99768
Apr,2015,California,492.38131
Aug,2016,Midsouth,490.98495
May,2017,Midsouth,490.38066
Apr,2019,Los Angeles,487.5373
