Month,Year,Region,Volume,Type,LogVolume
Feb,2015,GreatLakes,13070809.2,conventional,7.11630247512578
Feb,2016,Midsouth,13085171.53,conventional,7.11677942006296
Jan,2015,Northeast,13120598.9,conventional,7.11795365920343
Dec,2015,Northeast,13261526.31,conventional,7.12259351123794
Apr,2019,Los Angeles,13282549.81,conventional,7.12328145320346
Jul,2015,GreatLakes,13423804.18,conventional,7.12787560825178
Jun,2016,LosAngeles,13460259.41,conventional,7.12905342981708
Dec,2016,Northeast,13506461.32,conventional,7.13054157918461
May,2019,Midsouth,13509994,conventional,7.13065515614509
Aug,2015,Midsouth,13587228.23,conventional,7.13313087047858
Jul,2015,Southeast,13597926.17,conventional,7.13347267884069
Mar,2015,LosAngeles,13615707.63,conventional,7.13404021723809
Sep,2017,Northeast,13642654.94,conventional,7.13489889477733
Jan,2019,Los Angeles,13680237.4,conventional,7.13609363397879
Nov,2015,GreatLakes,13708346.24,conventional,7.13698506513501
Dec,2016,Southeast,13725160.59,conventional,7.13751743457516
Dec,2017,LosAngeles,13753082.12,conventional,7.13840003618159
Mar,2016,GreatLakes,13890123.13,conventional,7.14270609558949
May,2017,LosAngeles,13931541.56,conventional,7.1439991748561
Apr,2016,GreatLakes,13983874.51,conventional,7.14562751798919
May,2017,Midsouth,14032791.42,conventional,7.14714407001045
Jun,2015,Southeast,14070380.4,conventional,7.14830583896905
Apr,2015,Northeast,14103488.64,conventional,7.14932655305954
Jun,2015,GreatLakes,14170071.11,conventional,7.15137202968311
Feb,2018,LosAngeles,14174138.48,conventional,7.15149667146247
Jun,2017,LosAngeles,14315060.43,conventional,7.15579318570447
Feb,2017,Midsouth,14347286.71,conventional,7.15676977714727
Jul,2017,LosAngeles,14359233.15,conventional,7.15713124717535
Nov,2017,Northeast,14368146.1,conventional,7.15740073539375
Aug,2015,Southeast,14371211.32,conventional,7.15749337547038
Mar,2016,Southeast,14396379.45,conventional,7.15825328497097
Oct,2016,Southeast,14432548.8,conventional,7.15934303462969
Feb,2016,GreatLakes,14509784.41,conventional,7.16166095962982
Jan,2018,Midsouth,14644787.96,conventional,7.16568308796923
Aug,2015,LosAngeles,14699199.6,conventional,7.167293687213
Feb,2015,Northeast,14782075.51,conventional,7.16973541641719
Jan,2016,Midsouth,14870876.3,conventional,7.17233656106003
Sep,2016,Southeast,14906138.14,conventional,7.17336514166021
Jul,2017,Midsouth,14923368.39,conventional,7.17386685987144
Aug,2016,Southeast,14946910.27,conventional,7.17455142735144
Oct,2016,Northeast,14996754.95,conventional,7.17599729507082
Feb,2017,LosAngeles,15064853.63,conventional,7.17796491642809
Oct,2015,Northeast,15066233.27,conventional,7.17800468731597
Dec,2017,Midsouth,15128952.13,conventional,7.17980884871595
Feb,2016,LosAngeles,15212255.7,conventional,7.18219361677673
Jun,2016,GreatLakes,15230096.15,conventional,7.18270264511428
Aug,2017,Northeast,15248160.17,conventional,7.18321744524217
Apr,2017,LosAngeles,15256716.23,conventional,7.18346106856937
Jul,2016,Midsouth,15257615.4,conventional,7.18348666339964
Mar,2015,Southeast,15304476.47,conventional,7.18481847799876
May,2015,Midsouth,15342789.01,conventional,7.18590431277826
Sep,2015,Northeast,15367020.99,conventional,7.1865896844809
Sep,2016,Northeast,15377851.06,conventional,7.18689565029052
Jun,2017,Southeast,15459640.5,conventional,7.18919939057315
Feb,2018,Midsouth,15575021.49,conventional,7.19242865455958
Feb,2019,Los Angeles,15591650.33,conventional,7.19289208640623
Apr,2017,Midsouth,15657884.06,conventional,7.1947330729739
Nov,2016,California,15682902.88,conventional,7.19542645299646
Jul,2016,LosAngeles,15694984.74,conventional,7.19576089777821
Oct,2017,Southeast,15715013.82,conventional,7.19631476727833
Mar,2018,GreatLakes,15798947.82,conventional,7.1986281647276
Mar,2018,Midsouth,15898359.21,conventional,7.20135230527561
Jan,2017,Midsouth,15913292.37,conventional,7.20176004200978
Jun,2017,GreatLakes,15970836.36,conventional,7.20332765984681
Mar,2017,Northeast,15993406.56,conventional,7.2039409773572
May,2015,LosAngeles,16177747,conventional,7.20891803930359
May,2017,GreatLakes,16189032.54,conventional,7.20922089599897
Jun,2017,Northeast,16224343.46,conventional,7.21016713151443
Jun,2016,Southeast,16242358.46,conventional,7.21064909090246
