Month,Year,Region,Volume
Feb,2015,Louisville,5.32329
Feb,2016,Louisville,4.26248
Feb,2017,Louisville,23.45059
Feb,2018,Louisville,10.91431
Feb,2019,Louisville,17.38916
Feb,2019,Miami/Ft. Lauderdale,39.76366
Feb,2015,MiamiFtLauderdale,7.06432
Feb,2016,MiamiFtLauderdale,11.46222
Feb,2017,MiamiFtLauderdale,17.99969
Feb,2018,MiamiFtLauderdale,39.00926
Feb,2015,Midsouth,280.70474
Feb,2016,Midsouth,255.96167
Feb,2017,Midsouth,518.43434
Feb,2018,Midsouth,662.56973
Feb,2019,Midsouth,759.22614
Feb,2015,Nashville,29.19366
Feb,2016,Nashville,21.54181
Feb,2017,Nashville,42.56301
Feb,2018,Nashville,26.47453
Feb,2019,Nashville,23.3963
Feb,2019,New Orleans/Mobile,7.0836
Feb,2019,New York,423.41796
Feb,2015,NewOrleansMobile,14.2594
Feb,2016,NewOrleansMobile,11.39698
Feb,2017,NewOrleansMobile,20.71279
Feb,2018,NewOrleansMobile,33.1743
Feb,2015,NewYork,88.9274
Feb,2016,NewYork,117.61184
Feb,2017,NewYork,630.02218
Feb,2018,NewYork,780.29444
Feb,2015,Northeast,243.96239
Feb,2016,Northeast,377.20822
Feb,2017,Northeast,1089.72093
Feb,2018,Northeast,1604.3284
Feb,2019,Northeast,1274.02672
Feb,2019,Northern New England,126.19242
Feb,2015,NorthernNewEngland,27.87523
Feb,2016,NorthernNewEngland,39.09795
Feb,2017,NorthernNewEngland,48.14034
Feb,2018,NorthernNewEngland,101.85728
Feb,2015,Orlando,10.35238
Feb,2016,Orlando,15.83504
Feb,2017,Orlando,20.7641
Feb,2018,Orlando,36.81087
Feb,2019,Orlando,31.08263
Feb,2015,Philadelphia,19.10868
Feb,2016,Philadelphia,38.31274
Feb,2017,Philadelphia,109.50004
Feb,2018,Philadelphia,154.35243
Feb,2019,Philadelphia,151.01801
Feb,2019,Phoenix/Tucson,97.21016
Feb,2015,PhoenixTucson,47.14779
Feb,2016,PhoenixTucson,41.42302
Feb,2017,PhoenixTucson,84.10849
Feb,2018,PhoenixTucson,70.95803
Feb,2015,Pittsburgh,7.3249
Feb,2016,Pittsburgh,4.36759
Feb,2017,Pittsburgh,28.69196
Feb,2018,Pittsburgh,53.68547
Feb,2019,Pittsburgh,57.22861
Feb,2015,Plains,156.88022
Feb,2016,Plains,177.40873
Feb,2017,Plains,239.98483
Feb,2018,Plains,281.06779
Feb,2019,Plains,335.1472
